Date,Time,Open,High,Low,Close,Volume
2017.02.21,17:00,11980.8,11982.3,11957.0,11966.0,1419
2017.02.21,18:00,11966.3,11975.0,11966.3,11969.3,605
2017.02.21,19:00,11969.8,11974.3,11963.3,11966.0,489
2017.02.21,20:00,11965.5,11975.8,11964.8,11973.5,413
2017.02.21,21:00,11973.0,11994.3,11972.0,11988.0,544
2017.02.22,08:00,11992.5,12012.5,11983.3,11997.5,769
2017.02.22,09:00,11998.3,12028.3,11983.0,11996.8,1816
2017.02.22,10:00,11997.0,12009.5,11984.8,11992.5,1266
2017.02.22,11:00,11991.8,11993.5,11967.0,11979.5,1159
2017.02.22,12:00,11978.5,11996.8,11965.3,11967.3,889
2017.02.22,13:00,11968.0,11981.0,11967.5,11971.0,775
2017.02.22,14:00,11971.3,11982.0,11964.0,11973.3,847
2017.02.22,15:00,11973.0,11992.5,11966.0,11984.8,1624
2017.02.22,16:00,11984.5,12016.3,11973.8,11993.5,1887
2017.02.22,17:00,11993.0,12002.5,11982.5,11990.0,1322
2017.02.22,18:00,11989.3,11995.8,11988.5,11994.3,548
2017.02.22,19:00,11994.0,12003.8,11994.0,12002.0,364
2017.02.22,20:00,12002.3,12007.5,11983.3,11997.0,930
2017.02.22,21:00,11996.5,12003.8,11993.0,12000.5,518
2017.02.23,08:00,12001.0,12003.8,11990.5,11992.0,545
2017.02.23,09:00,11995.8,12011.5,11981.0,11993.3,1535
2017.02.23,10:00,11993.8,12013.5,11991.5,12007.0,994
2017.02.23,11:00,12007.8,12007.8,11987.5,11988.0,865
2017.02.23,12:00,11987.3,11994.3,11981.5,11992.3,637
2017.02.23,13:00,11991.8,11997.3,11971.0,11974.3,940
2017.02.23,14:00,11973.8,11985.0,11973.3,11982.5,748
2017.02.23,15:00,11983.0,11996.0,11972.0,11979.3,1188
2017.02.23,16:00,11980.0,11983.3,11943.0,11946.3,1573
2017.02.23,17:00,11948.0,11952.3,11924.0,11945.5,1801
2017.02.23,18:00,11946.5,11970.8,11944.8,11962.5,728
2017.02.23,19:00,11962.0,11965.8,11958.5,11963.3,519
2017.02.23,20:00,11963.8,11969.0,11961.5,11968.0,433
2017.02.23,21:00,11967.5,11968.5,11941.5,11953.5,547
2017.02.24,08:00,11931.5,11931.8,11908.5,11913.5,669
2017.02.24,09:00,11914.0,11933.8,11907.0,11913.8,1603
2017.02.24,10:00,11913.5,11926.8,11899.0,11908.8,2127
2017.02.24,11:00,11909.0,11911.3,11821.3,11836.5,10711
2017.02.24,12:00,11836.3,11836.8,11739.0,11752.5,15000
2017.02.24,13:00,11752.8,11782.5,11731.0,11735.0,9157
2017.02.24,14:00,11734.8,11758.5,11724.3,11725.3,8565
2017.02.24,15:00,11725.0,11804.0,11717.8,11802.3,11768
2017.02.24,16:00,11802.8,11806.8,11757.3,11785.0,11753
2017.02.24,17:00,11785.3,11813.5,11781.3,11791.5,8053
2017.02.24,18:00,11791.3,11810.8,11790.5,11807.5,1732
2017.02.24,19:00,11807.8,11809.3,11794.5,11805.0,553
2017.02.24,20:00,11805.5,11809.3,11799.3,11799.5,441
2017.02.24,21:00,11800.0,11838.0,11797.0,11834.0,813
2017.02.27,08:00,11834.3,11843.5,11814.8,11843.5,795
2017.02.27,09:00,11844.0,11861.5,11802.8,11804.8,2150
2017.02.27,10:00,11805.5,11828.0,11800.5,11810.5,1338
2017.02.27,11:00,11811.0,11821.0,11800.0,11805.0,757
2017.02.27,12:00,11805.5,11825.3,11799.5,11823.5,744
2017.02.27,13:00,11823.0,11823.5,11804.5,11812.0,687
2017.02.27,14:00,11812.5,11812.5,11789.8,11789.8,866
2017.02.27,15:00,11790.5,11827.0,11790.5,11826.0,1328
2017.02.27,16:00,11827.0,11844.0,11808.0,11830.0,2237
2017.02.27,17:00,11830.5,11837.0,11815.3,11817.8,1086
2017.02.27,18:00,11817.5,11832.0,11816.5,11827.0,490
2017.02.27,19:00,11826.8,11845.8,11824.5,11844.5,536
2017.02.27,20:00,11843.8,11852.8,11840.0,11846.8,475
2017.02.27,21:00,11846.5,11853.0,11838.5,11848.8,585
2017.02.28,08:00,11846.5,11846.5,11825.5,11838.3,638
2017.02.28,09:00,11840.0,11845.5,11816.8,11821.5,1558
2017.02.28,10:00,11821.8,11824.0,11791.5,11811.3,1194
2017.02.28,11:00,11813.3,11820.0,11797.5,11802.0,821
2017.02.28,12:00,11802.5,11812.5,11800.5,11803.3,716
2017.02.28,13:00,11802.5,11804.8,11776.0,11791.3,3789
2017.02.28,14:00,11791.0,11838.8,11787.5,11838.5,951
2017.02.28,15:00,11839.3,11841.5,11822.5,11828.5,1109
2017.02.28,16:00,11829.5,11851.3,11814.5,11844.3,1398
2017.02.28,17:00,11843.5,11850.3,11828.5,11841.3,1353
2017.02.28,18:00,11841.0,11842.8,11818.3,11830.8,740
2017.02.28,19:00,11830.5,11837.0,11827.5,11834.5,459
2017.02.28,20:00,11835.3,11836.0,11819.5,11831.5,493
2017.02.28,21:00,11831.0,11833.5,11819.5,11827.3,597
2017.03.01,08:00,11863.0,11918.5,11856.8,11907.3,1228
2017.03.01,09:00,11908.8,11983.5,11905.8,11972.0,8153
2017.03.01,10:00,11971.8,11993.8,11969.0,11985.5,7460
2017.03.01,11:00,11985.3,12012.8,11984.0,12003.5,5255
2017.03.01,12:00,12003.8,12006.0,11979.8,11993.3,5514
2017.03.01,13:00,11993.0,12002.8,11990.3,11998.5,4696
2017.03.01,14:00,11998.3,12026.5,11993.5,12024.5,5802
2017.03.01,15:00,12024.3,12040.5,12012.0,12036.5,3129
2017.03.01,16:00,12039.5,12068.3,12031.5,12054.8,1645
2017.03.01,17:00,12055.3,12072.8,12051.5,12060.8,1407
2017.03.01,18:00,12061.5,12078.3,12061.0,12067.8,789
2017.03.01,19:00,12067.5,12074.0,12066.5,12073.5,412
2017.03.01,20:00,12073.0,12097.8,12071.5,12097.3,473
2017.03.01,21:00,12097.5,12098.3,12068.8,12070.0,524
2017.03.02,08:00,12071.8,12087.5,12054.3,12062.5,813
2017.03.02,09:00,12060.5,12073.0,12042.5,12053.3,2003
2017.03.02,10:00,12052.0,12058.5,12040.0,12051.5,993
2017.03.02,11:00,12052.0,12073.8,12044.0,12072.0,818
2017.03.02,12:00,12071.3,12071.8,12057.3,12069.5,659
2017.03.02,13:00,12069.0,12075.0,12062.8,12069.0,656
2017.03.02,14:00,12069.3,12080.0,12068.0,12073.0,696
2017.03.02,15:00,12072.0,12076.3,12058.5,12070.5,1115
2017.03.02,16:00,12070.8,12072.0,12055.0,12055.5,1198
2017.03.02,17:00,12055.8,12062.3,12042.0,12060.0,1135
2017.03.02,18:00,12060.8,12065.8,12050.8,12064.5,585
2017.03.02,19:00,12064.0,12065.5,12055.5,12059.3,417
2017.03.02,20:00,12059.8,12068.3,12056.5,12065.0,434
2017.03.02,21:00,12064.5,12064.8,12037.3,12045.0,719
2017.03.03,08:00,12007.3,12018.3,11988.5,12003.3,781
